id,first_name,last_name,party,contest,other,color,photo
bowser,Muriel,Bowser,Democratic,mayor,,#278D28,img/bowser.jpg
catania,David,Catania,Independent,mayor,,#3E59B4,img/catania.jpg
djonkam,Nestor,Djonkam,Independent,mayor,TRUE,,
faith,,Faith,Statehood Green,mayor,TRUE,,
majors,Bruce,Majors,Libertarian,mayor,TRUE,,
schwartz,Carol,Schwartz,Independent,mayor,,#E35D00,img/schwartz.jpg
write_in,Write-in,,,mayor,TRUE,,
racine,Karl,Racine,Democratic,ag,,#3E59B4,
smith,Edward,Smith,Democratic,ag,,#278D28,
masters,Lorie,Masters,Democratic,ag,,#E35D00,
zukerberg,Paul,Zukerberg,Democratic,ag,,#AE000F,
williams,Lateefa,Williams,Democratic,ag,,#943DA9,
ag_write_in,Write-in,,Democratic,ag,TRUE,,
71_yes,,For,,initiative_71,,#1D895F,img/yes.jpg
71_no,,Against,,initiative_71,,#AE000F,img/no.jpg